2359	1297977	1401897	7	2026-02-16 15:56:00	2026-02-16 15:40:00	2026-02-16 15:40:00
2359	1297978	1401897	7	2026-02-16 15:52:00	2026-02-16 15:40:00	2026-02-16 15:40:00
2359	1656273	1625060	7	2026-04-30 14:59:00	2026-04-30 13:24:00	2026-04-30 13:24:00
2359	1656274	1625060	7	2026-04-30 14:59:00	2026-04-30 13:24:00	2026-04-30 13:24:00
2359	1656485	1622250	7	2026-04-30 15:33:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656486	1622250	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656487	1622252	7	2026-04-30 15:31:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656488	1622252	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1658167	1624273	7	2026-04-30 15:58:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658168	1624273	7	2026-04-30 15:13:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658169	1624276	8	2026-04-30 15:59:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658170	1624276	7	2026-04-30 00:00:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658171	1624276	7	2026-04-30 00:00:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658172	1624276	7	2026-04-30 00:00:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658179	1624293	8	2026-04-30 15:59:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658180	1624293	7	2026-04-30 00:00:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658181	1624293	7	2026-04-30 00:00:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658182	1624293	7	2026-04-30 00:00:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658195	1624306	7	2026-04-30 15:57:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658196	1624306	7	2026-04-30 15:13:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658205	1624323	7	2026-04-30 15:59:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658206	1624323	7	2026-04-30 15:13:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658207	1624325	7	2026-04-30 15:59:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658208	1624325	7	2026-04-30 15:13:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658213	1624844	7	2026-04-30 15:58:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658214	1624844	7	2026-04-30 15:13:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658221	1625060	7	2026-04-30 14:55:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1658222	1625060	7	2026-04-30 14:55:00	2026-04-30 18:25:00	2026-04-30 18:25:00
2359	1659369	1622287	7	2026-04-30 18:44:00	2026-05-01 02:23:00	2026-05-01 02:23:00
2359	1659371	1624306	7	2026-04-30 18:44:00	2026-05-01 02:23:00	2026-05-01 02:23:00
2359	1659781	1622251	7	2026-05-01 07:25:00	2026-05-01 06:25:00	2026-05-01 06:25:00
2359	1659782	1622252	7	2026-05-01 07:24:00	2026-05-01 06:25:00	2026-05-01 06:25:00
2359	1659783	1622285	7	2026-05-01 07:24:00	2026-05-01 06:25:00	2026-05-01 06:25:00
2359	1659857	1622287	7	2026-05-01 09:14:00	2026-05-01 07:23:00	2026-05-01 07:23:00
2359	1659860	1624306	7	2026-05-01 09:20:00	2026-05-01 07:23:00	2026-05-01 07:23:00
2359	1656489	1622254	7	2026-04-30 15:30:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656490	1622254	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656526	1622302	7	2026-04-30 15:45:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656527	1622302	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656528	1622303	7	2026-04-30 15:46:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656529	1622303	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656530	1622304	7	2026-04-30 15:40:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656531	1622304	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656548	1624274	7	2026-04-30 15:44:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656549	1624274	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656550	1624275	7	2026-04-30 15:35:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656551	1624275	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656564	1624289	7	2026-04-30 15:43:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656565	1624289	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656566	1624290	7	2026-04-30 15:41:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656567	1624290	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656568	1624291	7	2026-04-30 15:44:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656569	1624291	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656570	1624292	7	2026-04-30 15:45:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656571	1624292	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656578	1624307	7	2026-04-30 15:34:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656579	1624307	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656580	1624308	7	2026-04-30 15:35:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656581	1624308	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656582	1624309	7	2026-04-30 15:43:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656583	1624309	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656596	1624324	7	2026-04-30 15:40:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656597	1624324	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656600	1624843	7	2026-04-30 15:40:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656601	1624843	7	2026-04-30 15:13:00	2026-04-30 14:39:00	2026-04-30 14:39:00
2359	1656622	1622253	7	2026-04-30 15:32:00	2026-04-30 14:40:00	2026-04-30 14:40:00
2359	1656623	1622253	7	2026-04-30 15:13:00	2026-04-30 14:40:00	2026-04-30 14:40:00
2359	1656624	1622268	7	2026-04-30 15:43:00	2026-04-30 14:40:00	2026-04-30 14:40:00
