2359	150	0	CS-00131867	Rowenta testina rasoio per epilatore Flower Silence Fresh Soft EP	Rowenta	\N	14	2017-07-10 08:57:00	2026-07-17 16:06:00
2359	151	0	AT2116024100	Ariete piastra maniglia cavo tubo ferro da stiro Stiromatic Plus Eco Power 6422	Ariete	\N	12	2017-07-10 08:57:00	2026-07-17 15:54:00
2359	152	0	0192122004	XLR25LM.GY SCOPA ASPIRAPOLVERE CORDLESS BATTERIA COLOMBINA 25,2V GRIGIA	De'Longhi	8004399921405	8	2017-07-10 08:57:00	2026-06-14 12:10:00
2359	153	0	151284-00	DeWalt piatto tampone piastra sabbiatrice smerigliatrice 4011 D26411 DW411 PL52	DeWALT	\N	56	2017-07-10 08:57:00	2026-07-17 18:04:00
2359	154	0	CS-00130167	PIASTRA DG8560	Rowenta	\N	14	2017-07-10 08:57:00	2026-06-14 12:10:00
2359	155	0	0192122002	XLR18LM.R SCOPA ASPIRAPOLVERE CORDLESS A BATTERIA COLOMBINA 18V ROSSA	De'Longhi	8004399921382	8	2017-07-10 08:57:00	2026-06-14 12:10:00
2359	156	0	0192122000	XLR18LM.BL SCOPA ASPIRAPOLVERE CORDLESS A BATTERIA COLOMBINA 18V BLU	De'Longhi	8004399921368	8	2017-07-10 08:57:00	2026-06-14 12:10:00
2359	157	0	5332259500	Delonghi Nespresso tubo pescaggio latte Lattissima EN680 EN660 EN670 EN690	De'Longhi	4251327439387	51	2017-07-10 08:57:00	2026-07-22 08:54:00
2359	158	1	5103553-00	Black & Decker batteria 18V A18 EPC18 GKC1000 GKC1817 GLC2500 GPC1800 GW180 GTC	Black & Decker	\N	56	2017-07-10 08:57:00	2019-08-31 10:41:00
2359	159	0	CS-00128918	Rowenta pettine guida spessore 3mm rasoio Selectium TN7020	Rowenta	\N	228	2017-07-10 08:57:00	2026-07-17 16:06:00
2359	160	0	RS-RT4044	FILTRO CONTENITORE ERGO	Rowenta	\N	14	2017-07-10 08:57:00	2026-06-14 12:10:00
2359	161	0	5520610031	TRASCINATORE	De'Longhi	\N	51	2017-07-10 08:57:00	2026-05-13 08:50:00
2359	162	0	5513227961	Delonghi valvola meccanica pistone macchina caffè ECAM Intensa Magnifica Dinami	De'Longhi	\N	51	2017-07-10 08:57:00	2026-07-22 08:35:00
2359	163	0	MS-623037	Krups supporto porta capsule macchina caffè Dolce Gusto Genio KP15 Genio 2 KP16	Krups	\N	55	2017-07-10 08:57:00	2026-07-22 06:28:00
2359	164	0	ZR8001	Rowenta 4x sacchi per bidone aspirapolvere Vorace RU361 RU521 Pro Wet & Dry RD400	Rowenta	\N	14	2017-07-10 08:57:00	2026-07-22 08:59:00
2359	165	0	81327793	Braun pettine spessore barba Beard 1 11 mm rasoio Cruzer 5 6 7 5417 5418	Braun	\N	49	2017-07-10 08:57:00	2026-03-29 08:24:00
2359	166	0	5513214291	Delonghi caldaia 230V macchina caffè ESAM2200 ESAM3200 ESAM4000 ESAM4200 ESAM04	De'Longhi	\N	51	2017-07-10 08:57:00	2026-06-14 12:10:00
2359	167	0	KW715715	Kenwood disco lama grattugia extra fine robot MultiPro Classic FDM78 FDM79 FDM780 FDM790	Kenwood	\N	42	2017-07-10 08:57:00	2026-07-17 15:59:00
2359	168	0	EH1129	Delonghi Simac ruota ingranaggio puleggia gelatiera GELATAIO GC5000 1300 1200	De'Longhi	\N	51	2017-07-10 08:57:00	2026-07-13 09:47:00
2359	169	0	0X22111017	BRAUN MIXER MINIPIMER MULTIQUICK 3 4162 MQ325 OMELETTE 550W + TRITATUTTO FRUSTA	Braun	8021098770059	5	2017-07-10 08:57:00	2026-06-14 12:10:00
2359	170	0	KW715712	Kenwood lama pala impastare MultiPro Classic FDM FDM78 FDM79 FDM780 FDM790 FDM7	Kenwood	5011423929095	42	2017-07-10 08:57:00	2026-07-17 16:05:00
2359	171	0	9029794089	FOGLI PROTEZIONE PIANO 4PZ ELX	Electrolux	7321422821312	19	2017-07-10 08:57:00	2026-06-14 12:10:00
2359	172	0	5512870279	ELETTROVALVOLA PRO1640	De'Longhi	\N	51	2017-07-10 08:57:00	2026-05-13 08:50:00
2359	173	0	KW715711	Kenwood perno albero trasmissione robot MultiPro FDM78 FDM79 FDM780 FDM790 FDP6	Kenwood	5011423929088	42	2017-07-10 08:57:00	2026-07-22 08:32:00
2359	174	0	KW716345	Kenwood lama tritatutto mixer Triblade System Pro HDM80 HDM804 kMix HDX75 HDX75	Kenwood	\N	44	2017-07-10 08:57:00	2026-03-29 08:24:00
2359	175	0	AT6155506400	Ariete pala paletta mescolatrice gelatiera Gran Gelato Metal 693 0693 Unold	Ariete	\N	12	2017-07-10 08:57:00	2026-03-29 08:24:00
2359	176	0	9029793677	ELECTROLUX REX AEG FILTRO ELETTROSTATICO CONDIZIONATORE UNIVERSALE 11 x 30 cm	Electrolux	\N	19	2017-07-10 08:57:00	2026-06-14 12:10:00
