2359	80759	122	ASIN	B0742CZTX7	4	Italy	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1617137	122	ASIN	B0742CZTX7	4	Germany	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1608479	123	ASIN	B07143Z9D6	4	Spain	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	79921	124	ASIN	B00OZLNQA6	4	Italy	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	8392419	126	EAN13	4210201587927	\N	\N	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1626596	126	ASIN	B0056C8WAM	4	France	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	79822	127	ASIN	B0056C8VF8	4	Italy	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1626593	127	ASIN	B0056C8VF8	4	France	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	79823	128	ASIN	B0056C8UYK	4	Italy	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1626594	128	ASIN	B0056C8UYK	4	France	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1610970	130	ASIN	B0742FST4K	4	Spain	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1630339	130	ASIN	B0742FST4K	4	France	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	6605170	132	EAN13	3616360117974	\N	\N	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1528059	132	ASIN	B074C55Z4Z	4	Spain	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1626745	132	ASIN	B074C55Z4Z	4	France	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	8392554	133	EAN13	5011423842769	\N	\N	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1616786	133	ASIN	B005T1OIKI	4	Germany	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1627328	133	ASIN	B005T1OIKI	4	France	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1527906	134	ASIN	B0056C8V6W	4	Spain	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1627713	136	ASIN	B0749T2LT1	4	France	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	8392971	138	EAN13	5011423925264	\N	\N	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1617150	138	ASIN	B00J7KNLGE	4	Germany	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	6605306	141	EAN13	3616360133073	\N	\N	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1528141	141	ASIN	B074C6GP5W	4	Spain	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1621231	141	ASIN	B074C6GP5W	4	Germany	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	82078	143	ASIN	B00VBIPXCA	4	Italy	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	6641355	145	ASIN	B0CG42HVPY	4	Belgium	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	80039	146	ASIN	B074C79BCF	4	Italy	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1616318	146	ASIN	B074C79BCF	4	Germany	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	82478	147	ASIN	B074C7XXHJ	4	Italy	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1527221	151	ASIN	B0742D9M44	4	Spain	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	6742782	153	EAN13	5025536046440	\N	\N	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	77986	153	ASIN	B002JUOLCC	4	Italy	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	6606975	154	EAN13	3616360121193	\N	\N	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	8393506	155	EAN13	8004399921382	\N	\N	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1610703	156	ASIN	B00LXT3KJK	4	Spain	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	8394625	157	EAN13	4251327439387	31	IT	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	82312	158	ASIN	B077WK3C77	4	Italy	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	6605187	159	EAN13	3616360119503	\N	\N	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1622483	160	ASIN	B01H7BSF2O	4	Germany	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1632492	160	ASIN	B01H7BSF2O	4	France	2026-07-22 09:55:00	2026-07-22 09:55:00
2359	1619976	161	ASIN	B071LT9G3L	4	Germany	2026-07-22 09:55:00	2026-07-22 09:55:00
