2359	843556	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843524	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843515	31	167	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843490	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843447	31	160	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843406	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843390	31	160	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843270	31	167	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843261	31	169	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843247	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843240	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843236	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843229	31	160	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843188	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843170	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843138	31	169	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843106	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843072	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843063	31	167	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843047	31	167	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843013	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	843006	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842979	31	169	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842981	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842972	31	169	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842952	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842920	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842911	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842845	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842743	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842729	31	170	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842718	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842686	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842652	31	170	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842645	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842561	31	170	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842529	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842502	31	167	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842418	31	170	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842402	31	167	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842354	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842202	31	167	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842195	31	169	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842170	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842068	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842043	31	167	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842018	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	842020	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841977	31	169	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841968	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841952	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841884	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841859	31	170	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841850	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841807	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841784	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841750	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841734	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841716	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841684	31	169	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841652	31	160	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841650	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841643	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841573	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841568	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841525	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841518	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841493	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841375	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841373	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841332	31	170	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841316	31	170	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841309	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841298	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841282	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841232	31	160	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841141	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841139	31	160	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841116	31	167	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	841034	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840980	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840966	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840875	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840873	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840791	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840757	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840648	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840621	31	167	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840448	31	169	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840446	31	166	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840412	31	168	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840414	31	171	2026-07-22 09:32:00	2026-07-22 09:32:00
2359	840407	31	169	2026-07-22 09:32:00	2026-07-22 09:32:00
