2359	1	\N	defaults.products.folders.allproducts	[1]	1	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	2	1	eDock4eBay Importer	[1,2]	2	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	247	1	Test	[1,247]	2	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	229	1	Test-ManoMano	[1,229]	2	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	3	2	Negozio di PG Service di Francesco Giusino	[1,2,3]	3	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	4	3	Altro	[1,2,3,4]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	12	3	Ariete	[1,2,3,12]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	211	3	BaByliss	[1,2,3,211]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	20	3	Black & Decker DeWalt Stanley	[1,2,3,20]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	215	3	Bosch	[1,2,3,215]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	13	3	Braun	[1,2,3,13]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	129	3	Brita	[1,2,3,129]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	217	3	CuisinArt	[1,2,3,217]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	15	3	DeLonghi	[1,2,3,15]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	133	3	Didiesse	[1,2,3,133]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	33	3	Dyson	[1,2,3,33]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	218	3	Elchim	[1,2,3,218]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	19	3	Electrolux AEG Rex Zanussi	[1,2,3,19]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	30	3	Emer	[1,2,3,30]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	9	3	Ferri da stiro	[1,2,3,9]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	28	3	Gammapiù 4Use Elmot	[1,2,3,28]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	127	3	GAT	[1,2,3,127]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	22	3	H.Koenig	[1,2,3,22]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	216	3	Hoover Candy Haier	[1,2,3,216]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	209	3	Imetec	[1,2,3,209]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	32	3	Imperia	[1,2,3,32]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	212	3	iRobot	[1,2,3,212]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	29	3	Jagua	[1,2,3,29]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	220	3	Karcher	[1,2,3,220]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	10	3	Kenwood	[1,2,3,10]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	21	3	Kenwood Accessori Chef & kMix	[1,2,3,21]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	17	3	Krups	[1,2,3,17]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	221	3	La Pavoni	[1,2,3,221]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	208	3	Lagostina	[1,2,3,208]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	226	3	Marcato	[1,2,3,226]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	16	3	Moulinex	[1,2,3,16]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	136	3	Nutribullet	[1,2,3,136]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	25	3	Panasonic	[1,2,3,25]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
2359	5	3	Per la cucina	[1,2,3,5]	4	2026-07-22 22:07:00	2026-07-22 22:07:00
